Title*,Assign to*,Task type,Due date*,Due time*,Priority,Project,Description
DC Invoice — table filters and global search,Nurshid (Tech Team),New Feature,2026-09-04,14:11,HIGH,Rentfoxxy CRM,"Completed 4 Sep 2026. Sale DC + Demo E-Way tables: global search, type/status/e-way/mail filters, date range, clear filters, result count on /finance/dc-invoice."
DC/26-27/1271 finance queue investigation,Nurshid (Tech Team),Bug Fix,2026-09-04,14:11,NORMAL,Rentfoxxy CRM,"Completed 4 Sep 2026. Explained DC/26-27/1271 missing from e-invoice queue — still marked Rental not Sale; conversion steps documented."
Master Data — with-customer deployment KPIs,Nurshid (Tech Team),New Feature,2026-09-04,14:36,HIGH,Rentfoxxy CRM,"Completed 4 Sep 2026. Added Rental / Sold / In transit / Demo KPI cards on master-data; clickable filters; counts from deployed fleet."
Sales order — detach laptop after dispatch QC (superadmin),Nurshid (Tech Team),New Feature,2026-09-04,14:41,HIGH,Rentfoxxy CRM,"Completed 4 Sep 2026. Superadmin-only option to remove attached laptop from rental SO after dispatch QC passed."
Master Data — fix with-customer KPIs not loading,Nurshid (Tech Team),Bug Fix,2026-09-04,14:46,HIGH,Rentfoxxy CRM,"Completed 4 Sep 2026. Fixed KPI API/backend so with-customer deployment counts load correctly on master-data dashboard."
Master Data — sold laptop count clarification (398),Nurshid (Tech Team),Bug Fix,2026-09-04,14:51,NORMAL,Rentfoxxy CRM,"Completed 4 Sep 2026. Explained and corrected sold count logic vs quotation-based fleet totals on master-data."
Master Data — sale/rental value from deployed status only,Nurshid (Tech Team),Development,2026-09-04,15:10,HIGH,Rentfoxxy CRM,"Completed 4 Sep 2026. Total Sale Value and Monthly Rental Value count only sold/rented units; removed inflated quotation-based totals."
Master Data — amounts exclusive of GST,Nurshid (Tech Team),Development,2026-09-04,15:22,HIGH,Rentfoxxy CRM,"Completed 4 Sep 2026. KPIs and customer price use SO line rate (ex. GST); labels updated; no GST gross-up on master-data."
Master Data — rented KPI excludes out_stock,Nurshid (Tech Team),Development,2026-09-04,15:31,NORMAL,Rentfoxxy CRM,"Completed 4 Sep 2026. Rental counts and filters use rented only; legacy out_stock excluded from On Rent totals."
Customer Assets — On Rent 3138 vs Master 3043 fix,Nurshid (Tech Team),Bug Fix,2026-09-04,15:35,HIGH,Rentfoxxy CRM,"Completed 4 Sep 2026. Aligned Customer Assets On Rent tab count with exact rented filter (3043); out_stock moved to separate tab."
Out stock laptops CSV export (95 units),Nurshid (Tech Team),Development,2026-09-04,15:40,NORMAL,Rentfoxxy CRM,"Completed 4 Sep 2026. Exported 95 legacy out_stock laptops with specs and customer details to reports/out_stock_laptops.csv."
TTSPL3764 QC2 storage comparison fix,Nurshid (Tech Team),Bug Fix,2026-09-04,15:46,HIGH,Rentfoxxy CRM,"Completed 4 Sep 2026. Fixed grnConfigService storage parsing (1 TB vs 1024 GB; ignore merged GPU text after +) so QC2 passes."
RDC001605 warehouse received date — 16 Jul 2026,Nurshid (Tech Team),Data Fix,2026-09-04,15:59,NORMAL,Rentfoxxy CRM,"Completed 4 Sep 2026. Backdated RDC001605 warehouse receive to 16 Jul 2026 per request."
RDC001605 — hide incorrect Received button,Nurshid (Tech Team),Bug Fix,2026-09-04,16:03,NORMAL,Rentfoxxy CRM,"Completed 4 Sep 2026. Fixed UI showing Receive action when return DC already warehouse-received."
Return DC list API error fix,Nurshid (Tech Team),Bug Fix,2026-09-04,16:05,HIGH,Rentfoxxy CRM,"Completed 4 Sep 2026. Fixed return-dc API failure on /sales-pipeline/return-dc list load."
Return DC — delivered but not warehouse-received count,Nurshid (Tech Team),Development,2026-09-04,16:09,NORMAL,Rentfoxxy CRM,"Completed 4 Sep 2026. Added visibility for RDCs marked delivered but pending warehouse receive on return-dc page."
Return DC — Google Sheets style column filters,Nurshid (Tech Team),New Feature,2026-09-04,16:10,HIGH,Rentfoxxy CRM,"Completed 4 Sep 2026. Column-header filters on return-dc table (status, customer, dates, etc.)."
Return DC — remove filter helper header,Nurshid (Tech Team),Development,2026-09-04,16:13,NORMAL,Rentfoxxy CRM,"Completed 4 Sep 2026. Removed 'Click column headers to filter' banner from return-dc page."
Return DC — column filters not applying fix,Nurshid (Tech Team),Bug Fix,2026-09-04,16:19,HIGH,Rentfoxxy CRM,"Completed 4 Sep 2026. Fixed return-dc filters not applying to table results after deploy."
Public support pickup — reason type dropdown,Nurshid (Tech Team),New Feature,2026-09-04,16:52,HIGH,Rentfoxxy CRM,"Completed 4 Sep 2026. Pickup reason dropdown on /support/request: Employee Left, Faulty Laptop, Service Issue, Not in Use, Other (text required); backend validation."
Support Requests — Reason type and Reason columns,Nurshid (Tech Team),New Feature,2026-09-04,16:57,HIGH,Rentfoxxy CRM,"Completed 4 Sep 2026. Added Reason type + Reason columns on /support/requests; legacy pickup fallback for old rows."
Support Requests — table display fixes,Nurshid (Tech Team),Bug Fix,2026-09-04,16:59,NORMAL,Rentfoxxy CRM,"Completed 4 Sep 2026. Parse extra JSON safely; legacy pickup reason fallback; wider layout; frontend rebuild deployed."
Customer Assets — Out Stock filter tab (95 laptops),Nurshid (Tech Team),New Feature,2026-09-04,17:12,HIGH,Rentfoxxy CRM,"Completed 4 Sep 2026. Added Out Stock tab on customer-assets for legacy out_stock status (~95 units); orange badge label."
