Title*,Assign to*,Task type,Due date*,Due time*,Priority,Project,Description
Run updated QA migrations,Nurshid (Tech Team),Requirement,2026-09-09,11:34,HIGH,Rentfoxxy CRM,Completed 9 Sep 2026. Applied pending QA migrations including 231 lead_assignee_change. 228/236/237 already present.
Merge new_crm_rentfoxxy into QA staging branch,Nurshid (Tech Team),Requirement,2026-09-09,11:59,HIGH,Rentfoxxy CRM,Completed 9 Sep 2026. Pulled/merged new_crm_rentfoxxy into new_stagging_crm. Branch already contained incoming commits.
Deploy QA after merge,Nurshid (Tech Team),Requirement,2026-09-09,12:37,HIGH,Rentfoxxy CRM,Completed 9 Sep 2026. Restarted rentfoxxy-backend-new-stagging. Rebuilt admin UI plus customer and vendor portals. Production not touched.
Vendor Details config drawer and laptop tabs,Nurshid (Tech Team),New Feature,2026-09-09,12:46,HIGH,Rentfoxxy CRM,"Completed 9 Sep 2026. Vendor configuration moved to a right drawer. Main page is header plus laptop KPIs/list. Laptop tabs: All, Active, In Stock, In Transit, Returned. Portal permissions only admin / super_admin can change."
Vendor Master Data purchase type and rental KPIs,Nurshid (Tech Team),New Feature,2026-09-09,12:56,HIGH,Rentfoxxy CRM,"Completed 9 Sep 2026. Purchase Type filter (rental_purchase, direct_purchase, rent_to_own). Customer filter defaults to All. Rental Purchase KPI cards: Total / Rented / In Warehouse / Returned from backend counts."
PO list purchase type filter and multi-image bill,Nurshid (Tech Team),New Feature,2026-09-09,13:06,HIGH,Rentfoxxy CRM,Completed 9 Sep 2026. Purchase Orders filter by purchase type. Upload bill accepts multiple images/PDFs with thumbnails. View bill gallery plus lightbox. Add files after a bill exists.
PO list date filter,Nurshid (Tech Team),New Feature,2026-09-09,13:13,HIGH,Rentfoxxy CRM,"Completed 9 Sep 2026. Purchase Orders date filter: All dates, Today, Yesterday, and PO date from/to range. Filters on purchase_order_date."
PO list KPIs for ordered received pending,Nurshid (Tech Team),New Feature,2026-09-09,13:16,HIGH,Rentfoxxy CRM,"Completed 9 Sep 2026. KPI cards: Total POs, Laptops ordered, Received, Pending, Awaiting approval, Completed. Cards follow date/type/search and click through to matching rows."
Remove PO approval flow banner,Nurshid (Tech Team),Bug,2026-09-09,13:20,HIGH,Rentfoxxy CRM,Completed 9 Sep 2026. Removed the PO approval and vendor flow help box from the Purchase Orders page.
PO list ordered received pending columns,Nurshid (Tech Team),New Feature,2026-09-09,13:21,HIGH,Rentfoxxy CRM,Completed 9 Sep 2026. Each PO row shows Ordered, Received, and Pending laptop counts. Same totals as the KPI cards. Mobile cards show the same three numbers.
As-of date inventory report feasibility,Nurshid (Tech Team),Requirement,2026-09-09,18:14,HIGH,Rentfoxxy CRM,"Completed 9 Sep 2026. Confirmed from live QA schema: sale/rental/PO count/GRN as-of can use dated documents. Warehouse stage breakup as of 31 Jul is only partial because most warehouse units have no dated stage event. TTSPL timeline is real for CRM-processed units; not a full fleet snapshot."
QA nginx serve Return DC PDFs,Nurshid (Tech Team),Bug,2026-09-09,19:44,HIGH,Rentfoxxy CRM,Completed 9 Sep 2026. /uploads/sales-documents RDC PDFs returned Endpoint not found. Nginx now serves backend/uploads directly. Regenerated missing RDC002200 PDF at the stored path.
Restore missing Return DC PDFs on disk,Nurshid (Tech Team),Bug,2026-09-09,19:50,HIGH,Rentfoxxy CRM,Completed 9 Sep 2026. 767 of 773 Return DC PDFs were in DB but missing on disk. Regenerated and saved at the original filenames so existing QA /uploads/sales-documents/RDC… links open.
