Title*,Assign to*,Task type,Due date*,Due time*,Priority,Project,Description
Production QC Report — multi-select spec filters,Tech Team (CRM),Development,2026-08-11,17:00,NORMAL,Rentfoxxy CRM,"Restored filter bar on Production QC Report; added multi-select Brand/Model/Processor/Gen/RAM/SSD filters (backend + frontend)."
Laptop Report — fix All and Yesterday date filters,Tech Team (CRM),Development,2026-08-11,17:00,NORMAL,Rentfoxxy CRM,"Fixed date filter so All/Yesterday work correctly; only send custom dates when Custom mode selected; URL params normalized."
Laptop Report — multi-select spec filters,Tech Team (CRM),Development,2026-08-11,17:00,NORMAL,Rentfoxxy CRM,"Brand/Model/Processor/Gen/RAM/SSD converted to multi-select; backend OR filtering; fixed parseMultiSpecValues not exported bug."
Laptop Report — multi-select Stage/Team/Technician/Status,Tech Team (CRM),Development,2026-08-11,17:00,NORMAL,Rentfoxxy CRM,"Extended multi-select to Stage Team Technician Status filters on Laptop Report page."
Support Tickets export — Comments column and date format,Tech Team (CRM),Development,2026-08-12,17:00,NORMAL,Rentfoxxy CRM,"CSV export includes Comments column; dates formatted dd-mm-yyyy HH:mm:ss IST instead of raw ISO strings."
Settings Users — remove password from list UI,Tech Team (CRM),Development,2026-08-12,17:00,NORMAL,Rentfoxxy CRM,"Removed Password column and Recover existing passwords from user list; kept Reset password and export actions."
Users export — Excel with encrypted password hash,Tech Team (CRM),Development,2026-08-12,17:00,NORMAL,Rentfoxxy CRM,"Added GET /api/auth/users/export.xlsx with Name Email Encrypted Password (bcrypt) Role Mobile Team columns."
Login as user — fix on Mac Safari,Tech Team (CRM),Bug fix,2026-08-12,17:00,NORMAL,Rentfoxxy CRM,"Fixed Login as user blocked on Mac: open blank tab synchronously then navigate after API (openDeferredTab.js)."
TTSPL History — detach part to inventory,Tech Team (CRM),Development,2026-08-12,17:00,NORMAL,Rentfoxxy CRM,"Added Detach action on installed parts in TTSPL drawer; detached PRT returns to in_stock; new RBAC section Part Detach (Attached → Inventory)."
TTSPL History — detach modal for reason,Tech Team (CRM),Development,2026-08-13,17:00,NORMAL,Rentfoxxy CRM,"Replaced browser prompt with in-app DetachPartToInventoryModal (reason textarea + Cancel/Confirm)."
TTSPL History — detach without part request,Tech Team (CRM),Bug fix,2026-08-13,17:00,NORMAL,Rentfoxxy CRM,"Support detach when part installed outside part-request flow (detach-by-instance API); fixed search/display using resolved ticket TTSPL."
QC Ready — search spec and date filters,Tech Team (CRM),Development,2026-08-13,17:00,NORMAL,Rentfoxxy CRM,"Pending Inventory page: master search TTSPL/serial/model; spec filter bar; QC2 date range — same pattern as Floor All tickets."
QC Ready — fix search TTSPL mismatch,Tech Team (CRM),Bug fix,2026-08-13,17:00,NORMAL,Rentfoxxy CRM,"Search matched ticket TTSPL but table showed stale production_asset TTSPL; now resolves display from ticket."
QC Ready — fix receive serial validation,Tech Team (CRM),Bug fix,2026-08-13,17:00,NORMAL,Rentfoxxy CRM,"Receive into inventory validates ticket serial not stale PA serial; syncs vendor_serial_id from ticket before warehouse assign."
BlueDart AWB cancel — database column migration,Tech Team (CRM),Bug fix,2026-08-13,17:00,NORMAL,Rentfoxxy CRM,"Ran migration 191: added delivery_challan_lines.bluedart_awb_pdf_path; fixes cancel-bluedart-awb API error."
