Title*,Assign to*,Task type,Due date*,Due time*,Priority,Project,Description
Redeploy QA CRM after DB import,Nurshid (Tech Team),Deployment,2026-08-31,19:00,HIGH,Rentfoxxy CRM,Completed 31 Aug 2026 after 8 PM. Redeployed crm_new_stagging_crm on qa.rentfoxxy.com (API 5010) after the new QA DB import.
Revert September invoices and clean invoice / credit-note data,Nurshid (Tech Team),Bug Fix,2026-08-31,19:00,HIGH,Rentfoxxy CRM,Completed 31 Aug 2026. Reverted September invoices on /customer-billing/invoices and cleaned leftover invoice + credit-note records so QA billing could be re-tested.
Auto credit note on invoice generation (draft then approve),Nurshid (Tech Team),New Feature,2026-09-01,08:00,HIGH,Rentfoxxy CRM,"Completed 1 Sep 2026. CN created with invoice, stays draft until approved, then applies on invoice. CN date uses warehouse received date. Invoice KPIs for subtotal + CN total. Bulk CN approve with customer + laptop selection. SPNN CN flow verified."
"Master Data — multi-select filters, KPI follow filters, sale-list race",Nurshid (Tech Team),Bug Fix,2026-09-01,09:00,HIGH,Rentfoxxy CRM,Completed 1 Sep 2026. Multi-select on Master Data filters; vendor KPI cards follow filters; pickSpecFilters crash fixed; sale-list race when clicking Sale tab fixed with request-id guards.
Vendor PO exclusion and vendor-wise laptop view,Nurshid (Tech Team),New Feature,2026-09-01,09:00,HIGH,Rentfoxxy CRM,"Completed 1 Sep 2026. Vendor Master Data PO exclusion (exclude_from_vendor_po, migration 216) and vendor-wise laptop view on Master Data vendors tab."
Master Vendor Data dashboard,Nurshid (Tech Team),New Feature,2026-09-01,10:00,HIGH,Rentfoxxy CRM,"Completed 1 Sep 2026. New page /inventory-management/vendor-master-data — multi-month, KPIs, vendor summary with column totals. Fixed duplicate API loop. Permission inventory_vendor_master_data (migration 217)."
Master Return Data dashboard,Nurshid (Tech Team),New Feature,2026-09-01,10:00,HIGH,Rentfoxxy CRM,"Completed 1 Sep 2026. New page /inventory-management/return-master-data. Rows by warehouse received date. Customer/laptops tabs, KPIs, Excel export. Query tuned (~1.2s). Permission inventory_return_master_data (migration 218)."
Lock Master Vendor + Return Data to admin / super_admin,Nurshid (Tech Team),Requirement,2026-09-01,11:00,HIGH,Rentfoxxy CRM,Completed 1 Sep 2026. Migration 219 revoked other roles. Role Permissions UI locked as Admin / Super Admin only. API checkRole admin + super_admin.
Deploy QA customer portal :8011 and vendor portal :8012,Nurshid (Tech Team),Deployment,2026-09-01,15:00,HIGH,Rentfoxxy CRM,"Completed 1 Sep 2026. Built and served crm_new_stagging_crm portals. Customer http://157.173.221.119:8011, vendor :8012, API 5010. Set CUSTOMER_PORTAL_URL / VENDOR_PORTAL_URL. Other staging stays on 5003/5004."
Customer portal API curl doc + QA PDF URL,Nurshid (Tech Team),Requirement,2026-09-01,16:00,NORMAL,Rentfoxxy CRM,Completed 1 Sep 2026. Wrote customer-portal/CUSTOMER_PORTAL_API_CURL.md. Confirmed APIs work on https://qa.rentfoxxy.com/api. pdf_path maps to /uploads/customer-invoices/... or /api/customer-portal/invoices/{id}/pdf.
